company,url,flag,industry,size
Affirm,https://www.affirm.com,,Other credit granting,Large (turnover >£36m or public co.)
Apple,https://www.apple.com,,Manufacture of computers and peripheral equipment,Large (turnover >£36m or public co.)
Barclays,https://www.barclays.co.uk,,Banks,Large (turnover >£36m or public co.)
British Airways,https://www.britishairways.com,,Scheduled passenger air transport,Large (turnover >£36m or public co.)
Clay,https://www.clay.com,,"Data processing, hosting and related activities",Large (turnover >£36m or public co.)
Cloudflare,https://www.cloudflare.com,,"Data processing, hosting and related activities",Large (turnover >£36m or public co.)
JPMorgan Chase,https://www.jpmorganchase.com,,Banks,Large (turnover >£36m or public co.)
Meta,https://about.meta.com,,Web portals,Large (turnover >£36m or public co.)
Monzo,https://monzo.com,,Banks,Large (turnover >£36m or public co.)
Okta,https://www.okta.com,,Other information technology and computer service activities,Large (turnover >£36m or public co.)
Plaid,https://plaid.com,,"Data processing, hosting and related activities",Large (turnover >£36m or public co.)
Revolut,https://www.revolut.com,,Banks,Large (turnover >£36m or public co.)
Robinhood,https://robinhood.com,,Activities auxiliary to financial intermediation,Large (turnover >£36m or public co.)
Salesforce,https://www.salesforce.com,,Other information technology and computer service activities,Large (turnover >£36m or public co.)
SoFi,https://www.sofi.com,,Other credit granting,Large (turnover >£36m or public co.)
Wise,https://wise.com,,Activities auxiliary to financial intermediation,Large (turnover >£36m or public co.)
Southwest,https://www.southwest.com,,Scheduled passenger air transport,Large (turnover >£36m or public co.)
Carr House Farm Limited,https://carrhousefarm.co.uk,OK,"Growing of cereals (except rice), leguminous crops and oil seeds",Micro (turnover ≤£632k)
Richard Rowan Farms Ltd,https://richardrowanfarms.co.uk,OK,"Growing of vegetables and melons, roots and tubers",Micro (turnover ≤£632k)
GRWN Group Limited,https://grwngroup.com,OK,Growing of fibre crops,Micro (turnover ≤£632k)
The Carbon Farm Ltd,https://farmcarbontoolkit.org.uk,OK,Growing of fibre crops,Micro (turnover ≤£632k)
Community Apothecary CIC,https://www.communityapothecarywf.org,OK,Growing of other non-perennial crops,Micro (turnover ≤£632k)
Skylark Flower Company Limited,https://www.skylarkflowercompany.co.uk,OK,Growing of other non-perennial crops,Micro (turnover ≤£632k)
Liberty Orchards Limited,https://libertyorchards.com,OK,Growing of pome fruits and stone fruits,Micro (turnover ≤£632k)
H.E.Hall & Son Limited,https://hehallandson.co.uk,OK,Growing of pome fruits and stone fruits,Micro (turnover ≤£632k)
Wakai Trees Limited,https://www.wakaitrees.co.uk,OK,Plant propagation,Micro (turnover ≤£632k)
Elveden Livestock Limited,https://www.elveden.com,OK,Raising of dairy cattle,Micro (turnover ≤£632k)
Butterwell Farm Limited,https://butterwellfarm.com,OK,Raising of dairy cattle,Micro (turnover ≤£632k)
Pegoty Hedge Limited,https://www.pegotyhedge.co.uk,OK,Raising of dairy cattle,Micro (turnover ≤£632k)
Whitakers Turf Supplies Limited,http://www.whitakersturf.co.uk,OK,Raising of other cattle and buffaloes,Micro (turnover ≤£632k)
Auchlishie Eventing Limited,https://auchlishie.co.uk,,Raising of horses and other equines,Micro (turnover ≤£632k)
Bucks Buildings Limited,https://www.bucksbs.co.uk,OK,Raising of sheep and  goats,Micro (turnover ≤£632k)
Horham Dairy and Care Farm CIC,https://www.horhamdairyandcarefarm.org/,OK,Raising of sheep and  goats,Micro (turnover ≤£632k)
Larkrise Farm Enterprises Limited,http://www.larkriseholidays.co.uk,OK,Raising of swine/pigs,Micro (turnover ≤£632k)
Piggott's Poultry Breeders Ltd,https://www.piggottspoultry.co.uk,,Raising of poultry,Micro (turnover ≤£632k)
Silver Springs Farm Ltd,https://www.silverspringsfarm.co.uk,OK,Raising of poultry,Micro (turnover ≤£632k)
M S Frenchies UK Ltd,https://www.frenchiesltd.com/pages/about,OK,Raising of other animals,Micro (turnover ≤£632k)
The Gourmet Goat Farmer Limited,https://thegourmetgoatfarmer.co.uk,OK,Support activities for crop production,Micro (turnover ≤£632k)
Sam Dracott Farrier Ltd,https://www.samdracottfarrier.com,OK,Support activities for animal production (other than farm animal boarding and care) n.e.c.,Micro (turnover ≤£632k)
Little Munden Equestrian Ltd,https://www.littlemundenequestrian.com,OK,Farm animal boarding and care,Micro (turnover ≤£632k)
Oxon Deer Limited,https://www.oxondeer.co.uk/home,OK,"Hunting, trapping and related service activities",Micro (turnover ≤£632k)
Yellow Wood Ltd,https://www.yellowwoodpartners.com,OK,Support services to forestry,Micro (turnover ≤£632k)
Isle of Skye Shellfish Ltd,https://www.skyeseafood.com,OK,Marine fishing,Micro (turnover ≤£632k)
Mallard Flyfishers Limited,https://www.mallardflyfishers.co.uk,OK,Freshwater fishing,Micro (turnover ≤£632k)
Mishri Foods Limited,https://mishri.co.uk,OK,Manufacture of other milk products,Micro (turnover ≤£632k)
La Pepia Limited,https://lapepialdn.com,OK,Manufacture of condiments and seasonings,Micro (turnover ≤£632k)
J Sedgewick & Sons Ltd,https://www.sedgwick.com/en-gb/,,Manufacture of homogenized food preparations and dietetic food,Micro (turnover ≤£632k)
Soie De Lune Limited,https://www.soiedelune.com,OK,Weaving of textiles,Micro (turnover ≤£632k)
Little Knot Company Ltd,https://littleknotco.com,OK,Manufacture of soft furnishings,Micro (turnover ≤£632k)
Moontide Swimwear Limited,https://moontide.com,OK,Manufacture of other women's outerwear,Micro (turnover ≤£632k)
S R Bell Carpentry and Building Ltd,https://srbellcarpentry.com,OK,Manufacture of other builders' carpentry and joinery,Micro (turnover ≤£632k)
Beacon Print 247 Limited,http://www.beaconprint247.co.uk,OK,Manufacture of paper stationery,Micro (turnover ≤£632k)
Pass Consulting Ltd,https://www.pass-consulting.com/en/,OK,Printing n.e.c.,Micro (turnover ≤£632k)
Meg Hawkins Ltd.,https://www.meghawkinsltd.com/en-us,OK,Printing n.e.c.,Micro (turnover ≤£632k)
Town & Country Printers Limited,http://tcprinters.totalwebz.co.uk,OK,Printing n.e.c.,Micro (turnover ≤£632k)
Managed Mail Service Ltd,https://www.managedmailservice.co.uk/,OK,Printing n.e.c.,Micro (turnover ≤£632k)
CNC Group Limited,https://cnc-group.co.uk,OK,Pre-press and pre-media services,Micro (turnover ≤£632k)
Apollo Productions Ltd,https://www.apolloproductionstudio.com/,OK,Reproduction of video recording,Micro (turnover ≤£632k)
Racebolt Limited,http://www.raceboltuk.com,OK,Manufacture of basic iron and steel and of ferro-alloys,Micro (turnover ≤£632k)
Industrial Services Ltd,https://industrial-services.co.uk,OK,Treatment and coating of metals,Micro (turnover ≤£632k)
Lloyd & Co Blacksmiths Ltd,http://www.lloydblacksmiths.com,OK,Machining,Micro (turnover ≤£632k)
Ace Cutters (London) Limited,https://www.acecutters.co.uk,OK,Manufacture of tools,Micro (turnover ≤£632k)
Gamebird Products Limited,https://www.gamebird.co.uk,OK,Manufacture of other fabricated metal products n.e.c.,Micro (turnover ≤£632k)
Quantum Systemes Ltd,https://www.quantum-systems.com,,Manufacture of computers and peripheral equipment,Micro (turnover ≤£632k)
Mrrails.com Limited,https://www.mrrails.com,OK,Manufacture of consumer electronics,Micro (turnover ≤£632k)
Premi-Aire (Services) Limited,https://premiair.uk.com,OK,Manufacture of non-domestic cooling and ventilation equipment,Micro (turnover ≤£632k)
Detron Ltd,https://www.detron.co.uk,OK,Manufacture of other general-purpose machinery n.e.c.,Micro (turnover ≤£632k)
Rite Engineering Ltd,https://rite-engineering.com,OK,Manufacture of agricultural tractors,Micro (turnover ≤£632k)
Carrick Engineering Limited,https://www.carrickengineering.co.uk,OK,Manufacture of trailers and semi-trailers,Micro (turnover ≤£632k)
Ellwoodkitchens Ltd,https://ellwoodkitchens.co.uk,OK,Manufacture of kitchen furniture,Micro (turnover ≤£632k)
John Stone's Beds and Mattresses Ltd,https://johnstonesbeds.co.uk,OK,Manufacture of mattresses,Micro (turnover ≤£632k)
Ewan Buxton Joinery Limited,https://ewanbuxtonjoinery.co.uk,OK,Manufacture of other furniture,Micro (turnover ≤£632k)
Keizer Frames Limited,https://www.pictureframinglewes.co.uk,OK,Other manufacturing n.e.c.,Micro (turnover ≤£632k)
Secure Line Solutions Ltd,https://securelinesolutions.co.uk,OK,Repair of fabricated metal products,Micro (turnover ≤£632k)
Mobile Hose and Hydraulics Ltd,https://mobihose.co.uk,OK,Repair of machinery,Micro (turnover ≤£632k)
Cornwall Vacuum Services Limited,https://www.cornwall-vacuums.co.uk,OK,Repair of machinery,Micro (turnover ≤£632k)
JJ Engineering (SW) Limited,https://www.jjengineeringswltd.co.uk,OK,Repair of machinery,Micro (turnover ≤£632k)
Haenni Wheel Weigh Pads Limited,https://www.haenni-scales.com/int/en,OK,Repair and maintenance of other transport equipment n.e.c.,Micro (turnover ≤£632k)
Mayan Waters Ltd,https://www.mayanwaters.com/,OK,Repair of other equipment,Micro (turnover ≤£632k)
B.H. Refrigeration Limited,https://www.bhrefrigeration.co.uk,OK,Repair of other equipment,Micro (turnover ≤£632k)
Cheshire Pump Company Limited,http://www.cheshirepumpcompany.co.uk,OK,Installation of industrial machinery and equipment,Micro (turnover ≤£632k)
Allison Wold Power Limited,https://www.allisonwoldpower.co.uk,OK,Production of electricity,Micro (turnover ≤£632k)
Storelectric Fleetwood Limited,https://storelectric.com,OK,Production of electricity,Micro (turnover ≤£632k)
Drainworx Limited,http://www.drain-worx.co.uk,OK,Sewerage,Micro (turnover ≤£632k)
Youngs Waste Clearance Ltd,https://youngswasteclearance.co.uk,OK,Collection of non-hazardous waste,Micro (turnover ≤£632k)
Paperwise Limited,https://www.paperwise.co.uk,OK,Collection of non-hazardous waste,Micro (turnover ≤£632k)
Alliance Facilities Management Limited,https://www.alliancefacilities.co.uk,OK,Treatment and disposal of non-hazardous waste,Micro (turnover ≤£632k)
LPM Waste Management Ltd,https://lpmwastemanagement.co.uk,OK,Remediation activities and other waste management services,Micro (turnover ≤£632k)
Charlesgate Homes (Burghfield) Limited,https://charlesgatehomes.com,OK,Development of building projects,Micro (turnover ≤£632k)
Mawson Builders Limited,https://mawsonbuilders.com,,Construction of domestic buildings,Micro (turnover ≤£632k)
A1 Asphalt & Tarmacadam Surfacing Ltd,https://a1tarmacadamltd.co.uk,OK,Construction of roads and motorways,Micro (turnover ≤£632k)
Skyblue Contracting (UK) Ltd,https://www.sky-blue.uk,OK,Construction of roads and motorways,Micro (turnover ≤£632k)
P J Construction Services Limited,https://pjconstruct.co.uk,OK,Construction of roads and motorways,Micro (turnover ≤£632k)
Staffordshire Septics and Drainage Ltd,https://staffordshiresepticsanddrainage.com,OK,Construction of utility projects for fluids,Micro (turnover ≤£632k)
Utilities Guardian Ltd,https://www.guardianwp.com,OK,Construction of utility projects for fluids,Micro (turnover ≤£632k)
McNair Utilities Limited,https://www.mcnair-utilities.co.uk,OK,Construction of water projects,Micro (turnover ≤£632k)
Unicorn Projects Ltd,https://www.unicornprojects.co.uk/,OK,Construction of other civil engineering projects n.e.c.,Micro (turnover ≤£632k)
BKB Services Group Ltd,https://www.bkbaccountants.co.uk,OK,Electrical installation,Micro (turnover ≤£632k)
Senigallia Limited,https://www.senigallialimited.co.uk,OK,Electrical installation,Micro (turnover ≤£632k)
D J Plumbing & Heating (Brighton) Ltd,http://www.dj-plumbing-heating.co.uk,OK,"Plumbing, heat and air-conditioning installation",Micro (turnover ≤£632k)
Uptegral Limited,https://uptegral.co.uk,OK,Other construction installation,Micro (turnover ≤£632k)
Dream Home Professionals Ltd,https://www.dreamhomeprofessionals.co.uk,OK,Plastering,Micro (turnover ≤£632k)
Future Industry Services Limited,https://futureindustrial.com,OK,Joinery installation,Micro (turnover ≤£632k)
Top Notch Bespoke Fitted Furniture Limited,https://www.topnotchbespoke.co.uk,OK,Joinery installation,Micro (turnover ≤£632k)
Dentaid PDR Limited,https://www.dentaid.com/en/,OK,Maintenance and repair of motor vehicles,Micro (turnover ≤£632k)
MLT Tyres Ltd,https://www.mlttyres.co.uk,OK,Wholesale trade of motor vehicle parts and accessories,Micro (turnover ≤£632k)
